KOD_ZSJ_P;hour;day;users
9563;9;workday;269
9563;10;workday;263
9563;11;workday;235
9563;12;workday;227
9563;13;workday;212
9563;14;workday;216
9563;15;workday;227
9563;16;workday;249
9563;17;workday;265
9563;18;workday;280
9563;19;workday;310
9563;20;workday;328
9563;21;workday;321
9563;22;workday;320
9563;23;workday;320
9563;6;weekend;356
9563;7;weekend;358
9563;8;weekend;365
9563;9;weekend;369
9563;10;weekend;366
9563;11;weekend;364
9563;12;weekend;367
9563;13;weekend;389
9563;14;weekend;381
9563;15;weekend;396
9563;16;weekend;382
9563;17;weekend;388
9563;18;weekend;369
9563;19;weekend;386
9563;20;weekend;381
9563;21;weekend;405
9563;22;weekend;382
9563;23;weekend;384
10006;6;workday;911
10006;7;workday;1253
10006;8;workday;1796
10006;9;workday;2082
10006;10;workday;2239
10006;11;workday;2185
10006;12;workday;2039
10006;13;workday;1992
10006;14;workday;2008
10006;15;workday;1823
10006;16;workday;1810
10006;17;workday;1651
10006;18;workday;1473
10006;19;workday;1341
10006;20;workday;1243
10006;21;workday;1094
10006;22;workday;1013
10006;23;workday;904
10006;6;weekend;649
10006;7;weekend;658
10006;8;weekend;736
10006;9;weekend;840
10006;10;weekend;932
10006;11;weekend;936
10006;12;weekend;957
10006;13;weekend;968
10006;14;weekend;1007
10006;15;weekend;967
10006;16;weekend;979
10006;17;weekend;910
10006;18;weekend;930
10006;19;weekend;1021
10006;20;weekend;1108
10006;21;weekend;1051
10006;22;weekend;918
10006;23;weekend;783
10014;6;workday;2948
10014;7;workday;4157
10014;8;workday;6175
10014;9;workday;8139
10014;10;workday;9254
10014;11;workday;9502
10014;12;workday;9340
10014;13;workday;9031
10014;14;workday;8976
10014;15;workday;8650
10014;16;workday;8738
10014;17;workday;8103
10014;18;workday;7173
10014;19;workday;6237
10014;20;workday;5640
10014;21;workday;4971
10014;22;workday;4361
10014;23;workday;3645
10014;6;weekend;2275
10014;7;weekend;2387
10014;8;weekend;2626
10014;9;weekend;3245
10014;10;weekend;4022
10014;11;weekend;4582
10014;12;weekend;4778
10014;13;weekend;4718
10014;14;weekend;4661
10014;15;weekend;4704
10014;16;weekend;4742
10014;17;weekend;4544
10014;18;weekend;4647
10014;19;weekend;4666
10014;20;weekend;4973
10014;21;weekend;4867
10014;22;weekend;4470
10014;23;weekend;3904
10022;6;workday;5473
10022;7;workday;7303
10022;8;workday;9867
10022;9;workday;12102
10022;10;workday;13629
10022;11;workday;13749
10022;12;workday;13933
10022;13;workday;13400
10022;14;workday;13731
10022;15;workday;13073
10022;16;workday;13912
10022;17;workday;12947
10022;18;workday;11258
10022;19;workday;10114
10022;20;workday;9124
10022;21;workday;7955
10022;22;workday;6912
10022;23;workday;5955
10022;6;weekend;4553
10022;7;weekend;4644
10022;8;weekend;5204
10022;9;weekend;6257
10022;10;weekend;7392
10022;11;weekend;8167
10022;12;weekend;8034
10022;13;weekend;7889
10022;14;weekend;7955
10022;15;weekend;8072
10022;16;weekend;8163
10022;17;weekend;8023
10022;18;weekend;7892
10022;19;weekend;7612
10022;20;weekend;7757
10022;21;weekend;7599
10022;22;weekend;7084
10022;23;weekend;6432
10031;6;workday;2567
10031;7;workday;3546
10031;8;workday;4749
10031;9;workday;5717
10031;10;workday;6269
10031;11;workday;6143
10031;12;workday;6014
10031;13;workday;5723
10031;14;workday;5716
10031;15;workday;5396
10031;16;workday;5376
10031;17;workday;5135
10031;18;workday;4788
10031;19;workday;4863
10031;20;workday;4860
10031;21;workday;4630
10031;22;workday;4136
10031;23;workday;3512
10031;6;weekend;2068
10031;7;weekend;2147
10031;8;weekend;2255
10031;9;weekend;2377
10031;10;weekend;2710
10031;11;weekend;2829
10031;12;weekend;2989
10031;13;weekend;3012
10031;14;weekend;3119
10031;15;weekend;3064
10031;16;weekend;3078
10031;17;weekend;3290
10031;18;weekend;3426
10031;19;weekend;4078
10031;20;weekend;4283
10031;21;weekend;4397
10031;22;weekend;4220
10031;23;weekend;3910
10049;6;workday;4036
10049;7;workday;5175
10049;8;workday;5945
10049;9;workday;6314
10049;10;workday;6578
10049;11;workday;6203
10049;12;workday;5885
10049;13;workday;5575
10049;14;workday;5512
10049;15;workday;4925
10049;16;workday;4822
10049;17;workday;4513
10049;18;workday;4204
10049;19;workday;4166
10049;20;workday;4118
10049;21;workday;4014
10049;22;workday;3883
10049;23;workday;3731
10049;6;weekend;3310
10049;7;weekend;3439
10049;8;weekend;3501
10049;9;weekend;3478
10049;10;weekend;3463
10049;11;weekend;3406
10049;12;weekend;3399
10049;13;weekend;3412
10049;14;weekend;3419
10049;15;weekend;3489
10049;16;weekend;3376
10049;17;weekend;3246
10049;18;weekend;3348
10049;19;weekend;3500
10049;20;weekend;3503
10049;21;weekend;3546
10049;22;weekend;3428
10049;23;weekend;3311
10057;6;workday;921
10057;7;workday;1330
10057;8;workday;1686
10057;9;workday;1738
10057;10;workday;1840
10057;11;workday;1688
10057;12;workday;1635
10057;13;workday;1532
10057;14;workday;1381
10057;15;workday;1126
10057;16;workday;1074
10057;17;workday;972
10057;18;workday;921
10057;19;workday;901
10057;20;workday;838
10057;21;workday;831
10057;22;workday;819
10057;23;workday;846
10057;6;weekend;819
10057;7;weekend;829
10057;8;weekend;818
10057;9;weekend;822
10057;10;weekend;831
10057;11;weekend;818
10057;12;weekend;822
10057;13;weekend;835
10057;14;weekend;842
10057;15;weekend;823
10057;16;weekend;844
10057;17;weekend;840
10057;18;weekend;822
10057;19;weekend;844
10057;20;weekend;817
10057;21;weekend;833
10057;22;weekend;822
10057;23;weekend;837
10065;6;workday;4058
10065;7;workday;4935
10065;8;workday;5912
10065;9;workday;6229
10065;10;workday;6395
10065;11;workday;6070
10065;12;workday;5566
10065;13;workday;5192
10065;14;workday;5105
10065;15;workday;5020
10065;16;workday;5118
10065;17;workday;4834
10065;18;workday;4500
10065;19;workday;4246
10065;20;workday;4021
10065;21;workday;3842
10065;22;workday;3666
10065;23;workday;3552
10065;6;weekend;3293
10065;7;weekend;3354
10065;8;weekend;3565
10065;9;weekend;3626
10065;10;weekend;3557
10065;11;weekend;3376
10065;12;weekend;3282
10065;13;weekend;3230
10065;14;weekend;3313
10065;15;weekend;3336
10065;16;weekend;3332
10065;17;weekend;3312
10065;18;weekend;3270
10065;19;weekend;3207
10065;20;weekend;3181
10065;21;weekend;3178
10065;22;weekend;3234
10065;23;weekend;3112
10073;6;workday;2492
10073;7;workday;3496
10073;8;workday;4891
10073;9;workday;5737
10073;10;workday;6096
10073;11;workday;5778
10073;12;workday;5557
10073;13;workday;5429
10073;14;workday;5528
10073;15;workday;5897
10073;16;workday;5756
10073;17;workday;4931
10073;18;workday;3727
10073;19;workday;2939
10073;20;workday;2512
10073;21;workday;2278
10073;22;workday;2138
10073;23;workday;1994
10073;6;weekend;1930
10073;7;weekend;2002
10073;8;weekend;2209
10073;9;weekend;2335
10073;10;weekend;2405
10073;11;weekend;2468
10073;12;weekend;2470
10073;13;weekend;2512
10073;14;weekend;2397
10073;15;weekend;2382
10073;16;weekend;2339
10073;17;weekend;2306
10073;18;weekend;2213
10073;19;weekend;2256
10073;20;weekend;2078
10073;21;weekend;1981
10073;22;weekend;1929
10073;23;weekend;1835
10081;6;workday;1897
10081;7;workday;2216
10081;8;workday;2320
10081;9;workday;2316
10081;10;workday;2229
10081;11;workday;2034
10081;12;workday;1966
10081;13;workday;1888
10081;14;workday;1865
10081;15;workday;1668
10081;16;workday;1860
10081;17;workday;1843
10081;18;workday;1849
10081;19;workday;1821
10081;20;workday;1823
10081;21;workday;1765
10081;22;workday;1730
10081;23;workday;1698
10081;6;weekend;1419
10081;7;weekend;1460
10081;8;weekend;1490
10081;9;weekend;1446
10081;10;weekend;1416
10081;11;weekend;1343
10081;12;weekend;1285
10081;13;weekend;1336
10081;14;weekend;1362
10081;15;weekend;1384
10081;16;weekend;1370
10081;17;weekend;1353
10081;18;weekend;1399
10081;19;weekend;1447
10081;20;weekend;1440
10081;21;weekend;1423
10081;22;weekend;1456
